length,species,individual
85.88197681121528,bhc,1
130.9474621899426,bhc,2
96.80792296305299,bhc,3
139.47156636044383,bhc,4
144.64205558644608,bhc,5
64.10008494509384,bhc,6
107.52949392423034,bhc,7
140.31771399546415,bhc,8
109.62915130192414,bhc,9
101.0953261773102,bhc,10
146.11500108148903,bhc,11
100.80007405718789,bhc,12
120.98135719075799,bhc,13
111.53700617607683,bhc,14
69.26322143990546,bhc,15
140.98424733616412,bhc,16
82.14789609191939,bhc,17
63.78535801777616,bhc,18
89.51286473544315,bhc,19
145.90532842325047,bhc,20
140.0585384457372,bhc,21
122.35230655409396,bhc,22
117.64561323914677,bhc,23
149.48427989613265,bhc,24
119.01352192042395,bhc,25
123.76774213509634,bhc,26
108.965942224022,bhc,27
113.47278184024617,bhc,28
86.02437635650858,bhc,29
73.24022825807333,bhc,30
146.6721809282899,bhc,31
141.2069140607491,bhc,32
122.16347505804151,bhc,33
131.592067591846,bhc,34
62.21523160580546,bhc,35
103.0016373982653,bhc,36
128.26135837705806,bhc,37
79.47671422502026,bhc,38
88.63629068713635,bhc,39
80.8463206817396,gsf,1
72.85200201440603,gsf,2
97.30917022330686,gsf,3
97.23518936662003,gsf,4
93.19609058322385,gsf,5
73.72002729680389,gsf,6
72.49254571041092,gsf,7
80.97306895069778,gsf,8
101.93662052275613,gsf,9
83.9375376328826,gsf,10
137.2044943808578,gsf,11
64.12480500061065,gsf,12
99.79800667846575,gsf,13
131.90323610790074,gsf,14
70.9709333977662,gsf,15
110.48531853826717,gsf,16
78.58782506547868,gsf,17
71.47784852189943,gsf,18
127.79770778724924,gsf,19
140.55408232379705,gsf,20
93.70164982974529,gsf,21
119.86036751652136,gsf,22
68.53565948316827,gsf,23
94.55726740183309,gsf,24
84.69452801160514,gsf,25
133.31760349916294,gsf,26
100.36647072527558,gsf,27
132.90579177439213,gsf,28
133.1150558567606,gsf,29
131.49080889998004,gsf,30
99.58485188428313,gsf,31
127.9027642775327,gsf,32
116.62990184035152,gsf,33
123.91641612164676,gsf,34
60.05622959928587,gsf,35
102.77849166886881,gsf,36
79.81069966452196,gsf,37
94.18348839506507,gsf,38
115.14939029468223,gsf,39
91.66181183187291,gsf,40
70.0021881912835,gsf,41
81.9257525447756,gsf,42
120.12500287033617,gsf,43
97.58821017108858,gsf,44
130.93762506265193,gsf,45
69.25781798316166,gsf,46
99.14034673478454,gsf,47
148.64612819859758,gsf,48
140.37460029590875,gsf,49
139.7822154709138,gsf,50
75.75473852455616,gsf,51
71.76261224085465,gsf,52
118.77917325356975,gsf,53
90.91648250352591,gsf,54
119.10823151702061,gsf,55
88.83359182393178,gsf,56
76.89220073400065,rbs,1
130.4064871184528,rbs,2
68.4235488041304,rbs,3
102.0101137412712,rbs,4
106.03549139108509,rbs,5
113.99900633376092,rbs,6
89.95411862852052,rbs,7
103.97517303004861,rbs,8
145.90264447499067,rbs,9
103.46121574519202,rbs,10
140.13151999097317,rbs,11
142.29943682206795,rbs,12
114.7861484088935,rbs,13
96.96207988774404,rbs,14
73.23852218454704,rbs,15
144.17698229430243,rbs,16
87.11060099769384,rbs,17
65.46485143946484,rbs,18
145.29542460339144,rbs,19
124.85366460867226,rbs,20
72.80648660380393,rbs,21
109.43561904598027,rbs,22
145.86821147007868,rbs,23
112.69350178074092,rbs,24
96.40592535724863,rbs,25
118.31041313940659,rbs,26
88.7838555383496,rbs,27
87.69480097806081,rbs,28
79.77908681379631,rbs,29
93.2539979252033,rbs,30
148.57972831232473,rbs,31
73.87820707401261,rbs,32
68.19395998958498,rbs,33
72.77162170037627,rbs,34
122.10063913604245,rbs,35
115.73308350518346,rbs,36
140.22547054337338,rbs,37
120.56991833494976,rbs,38
126.33699641330168,rbs,39
106.9022153201513,rbs,40
119.38546047080308,rbs,41
133.96249141311273,rbs,42
130.7653396530077,rbs,43
148.18397256312892,rbs,44
99.54883826198056,rbs,45
88.05319818668067,rbs,46
96.8527457350865,rbs,47
60.942040064837784,rbs,48
76.54645716072991,rbs,49
135.84563869982958,rbs,50
80.80456038471311,rbs,51
81.51899600867182,rbs,52
66.90220488002524,rbs,53
82.11513102287427,rbs,54
125.89216849766672,rbs,55
